trust_ppl_81,proud_81,class_81,geograph_01_81,geograph_02_81,sex_81,year_of_birth_81,occupation_81,education_age_81,avoid_criminals,avoid_other_race,avoid_students,avoid_LW_extremists,avoid_unm_mothers,avoid_heavy_drinkers,avoid_RW_extremists,avoid_large_families,avoid_emotionally_unst,avoid_minority_sects,avoid_foreign_workers
can't be too careful,not at all proud,C1,own country,own town,male,45,small buisnessowner,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C1,local region,own country,female (working),58,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,C2,own town,own country,male,13,skilled manual,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,AB,own town,own country,male,45,mdl. lvl. non-manual,18,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,not very proud,AB,own town,own country,female (housewife),36,small buisnessowner,17,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,own country,own town,male,29,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own town,own country,male,13,skilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked
can't be too careful,not very proud,C1,own country,the whole world,female (housewife),56,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,own country,female (housewife),27,NA,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked
most can be trusted,not very proud,DE,own town,own country,female (housewife),48,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C1,own town,the whole world,female (housewife),52,mdl. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own country,own town,female (working),55,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,own town,own country,female (housewife),56,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own town,own country,male,40,skilled manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,DE,the whole world,own town,male,57,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,C1,own town,own country,male,55,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,DE,the whole world,own town,male,55,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,C1,own country,local region,female (working),50,supervisor manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own country,own town,female (housewife),49,NA,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
can't be too careful,quite proud,C1,own town,local region,male,47,small buisnessowner,20,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,AB,own town,local region,male,35,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,own town,female (housewife),0,jun. lvl. non-manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,local region,own country,male,59,unskilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own town,the whole world,male,59,unskilled manual,16,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked
can't be too careful,quite proud,C1,own country,the whole world,male,49,small buisnessowner,15,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,C2,local region,the whole world,female (housewife),22,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,own country,female (housewife),47,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C2,own country,own town,female (housewife),60,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,local region,female (working),51,skilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own country,local region,female (housewife),48,NA,16,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C1,local region,own town,female (working),51,jun. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,own town,own country,female (housewife),12,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not at all proud,C1,NA,NA,female (housewife),33,small buisnessowner,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,DE,own country,Europe,female (housewife),4,unskilled manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked
undetermined,quite proud,C2,own country,the whole world,female (housewife),38,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own country,own town,female (working),53,semi-skilled manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
